Cultivar	Core	Semi-core	Accessory	Private	Unassigned singletons
AGIS1.0	27119	2160	4399	684	0
BSM	27514	2294	4684	84	354
CI	27514	2278	4637	65	325
GJ	27514	2181	4446	162	326
IN	27514	2355	4840	86	360
KM	27514	2337	4811	247	361
MPE	27514	2290	4659	78	303
PP	27514	2417	4849	70	249
