Orthogroup	AGIS1.0	BSM	CI	GJ	IN	KM	MPE	PP	cultivar_occupancy	reference_present	orthogroup_class	private_cultivar
OG0004868	1	1	1	1	1	1	1	1	7	1	Core	
OG0004869	1	1	1	1	1	1	1	1	7	1	Core	
OG0004870	1	1	1	1	1	1	1	1	7	1	Core	
OG0004871	1	1	1	1	1	1	1	1	7	1	Core	
OG0004872	1	1	1	1	1	1	1	1	7	1	Core	
OG0004873	1	1	1	1	1	1	1	1	7	1	Core	
OG0004874	1	1	1	1	1	1	1	1	7	1	Core	
OG0004875	1	1	1	1	1	1	1	1	7	1	Core	
OG0004876	1	1	1	1	1	1	1	1	7	1	Core	
OG0004877	1	1	1	1	1	1	1	1	7	1	Core	
OG0004878	1	1	1	1	1	1	1	1	7	1	Core	
OG0004879	1	1	1	1	1	1	1	1	7	1	Core	
OG0004880	1	1	1	1	1	1	1	1	7	1	Core	
OG0004881	1	1	1	1	1	1	1	1	7	1	Core	
OG0004882	1	1	1	1	1	1	1	1	7	1	Core	
OG0004883	1	1	1	1	1	1	1	1	7	1	Core	
OG0004884	1	1	1	1	1	1	1	1	7	1	Core	
OG0004885	1	1	1	1	1	1	1	1	7	1	Core	
OG0004886	1	1	1	1	1	1	1	1	7	1	Core	
OG0004887	1	1	1	1	1	1	1	1	7	1	Core	
OG0004888	1	1	1	1	1	1	1	1	7	1	Core	
OG0004889	1	1	1	1	1	1	1	1	7	1	Core	
OG0004890	1	1	1	1	1	1	1	1	7	1	Core	
OG0004891	1	1	1	1	1	1	1	1	7	1	Core	
OG0004892	1	1	1	1	1	1	1	1	7	1	Core	
OG0004893	1	1	1	1	1	1	1	1	7	1	Core	
OG0004894	1	1	1	1	1	1	1	1	7	1	Core	
OG0004895	1	1	1	1	1	1	1	1	7	1	Core	
OG0004896	1	1	1	1	1	1	1	1	7	1	Core	
OG0004897	1	1	1	1	1	1	1	1	7	1	Core	
OG0004898	1	1	1	1	1	1	1	1	7	1	Core	
OG0004899	1	1	1	1	1	1	1	1	7	1	Core	
OG0004900	1	1	1	1	1	1	1	1	7	1	Core	
OG0004901	1	1	1	1	1	1	1	1	7	1	Core	
OG0004902	1	1	1	1	1	1	1	1	7	1	Core	
OG0004903	1	1	1	1	1	1	1	1	7	1	Core	
OG0004904	1	1	1	1	1	1	1	1	7	1	Core	
OG0004905	1	1	1	1	1	1	1	1	7	1	Core	
OG0004906	1	1	1	1	1	1	1	1	7	1	Core	
OG0004907	1	1	1	1	1	1	1	1	7	1	Core	
OG0004908	1	1	1	1	1	1	1	1	7	1	Core	
OG0004909	1	1	1	1	1	1	1	1	7	1	Core	
OG0004910	1	1	1	1	1	1	1	1	7	1	Core	
OG0004911	1	1	1	1	1	1	1	1	7	1	Core	
OG0004912	1	1	1	1	1	1	1	1	7	1	Core	
OG0004913	1	1	1	1	1	1	1	1	7	1	Core	
OG0004914	1	1	1	1	1	1	1	1	7	1	Core	
OG0004915	1	1	1	1	1	1	1	1	7	1	Core	
OG0004916	1	1	1	1	1	1	1	1	7	1	Core	
OG0004917	1	1	1	1	1	1	1	1	7	1	Core	
OG0004918	1	1	1	1	1	1	1	1	7	1	Core	
OG0004919	1	1	1	1	1	1	1	1	7	1	Core	
OG0004920	1	1	1	1	1	1	1	1	7	1	Core	
OG0004921	1	1	1	1	1	1	1	1	7	1	Core	
OG0004922	1	1	1	1	1	1	1	1	7	1	Core	
OG0004923	1	1	1	1	1	1	1	1	7	1	Core	
OG0004924	1	1	1	1	1	1	1	1	7	1	Core	
OG0004925	1	1	1	1	1	1	1	1	7	1	Core	
OG0004926	1	1	1	1	1	1	1	1	7	1	Core	
OG0004927	1	1	1	1	1	1	1	1	7	1	Core	
OG0004928	1	1	1	1	1	1	1	1	7	1	Core	
OG0004929	1	1	1	1	1	1	1	1	7	1	Core	
OG0004930	1	1	1	1	1	1	1	1	7	1	Core	
OG0004931	1	1	1	1	1	1	1	1	7	1	Core	
OG0004932	1	1	1	1	1	1	1	1	7	1	Core	
OG0004933	1	1	1	1	1	1	1	1	7	1	Core	
OG0004934	1	1	1	1	1	1	1	1	7	1	Core	
OG0004935	1	1	1	1	1	1	1	1	7	1	Core	
OG0004936	1	1	1	1	1	1	1	1	7	1	Core	
OG0004937	1	1	1	1	1	1	1	1	7	1	Core	
OG0004938	1	1	1	1	1	1	1	1	7	1	Core	
OG0004939	1	1	1	1	1	1	1	1	7	1	Core	
OG0004940	1	1	1	1	1	1	1	1	7	1	Core	
OG0004941	1	1	1	1	1	1	1	1	7	1	Core	
OG0004942	1	1	1	1	1	1	1	1	7	1	Core	
OG0004943	1	1	1	1	1	1	1	1	7	1	Core	
OG0004944	1	1	1	1	1	1	1	1	7	1	Core	
OG0004945	1	1	1	1	1	1	1	1	7	1	Core	
OG0004946	1	1	1	1	1	1	1	1	7	1	Core	
OG0004947	1	1	1	1	1	1	1	1	7	1	Core	
OG0004948	1	1	1	1	1	1	1	1	7	1	Core	
OG0004949	1	1	1	1	1	1	1	1	7	1	Core	
OG0004950	1	1	1	1	1	1	1	1	7	1	Core	
OG0004951	1	1	1	1	1	1	1	1	7	1	Core	
OG0004952	1	1	1	1	1	1	1	1	7	1	Core	
OG0004953	1	1	1	1	1	1	1	1	7	1	Core	
OG0004954	1	1	1	1	1	1	1	1	7	1	Core	
OG0004955	1	1	1	1	1	1	1	1	7	1	Core	
OG0004956	1	1	1	1	1	1	1	1	7	1	Core	
OG0004957	1	1	1	1	1	1	1	1	7	1	Core	
OG0004958	1	1	1	1	1	1	1	1	7	1	Core	
OG0004959	1	1	1	1	1	1	1	1	7	1	Core	
OG0004960	1	1	1	1	1	1	1	1	7	1	Core	
OG0004961	1	1	1	1	1	1	1	1	7	1	Core	
OG0004962	1	1	1	1	1	1	1	1	7	1	Core	
OG0004963	1	1	1	1	1	1	1	1	7	1	Core	
OG0004964	1	1	1	1	1	1	1	1	7	1	Core	
OG0004965	1	1	1	1	1	1	1	1	7	1	Core	
OG0004966	1	1	1	1	1	1	1	1	7	1	Core	
OG0004967	1	1	1	1	1	1	1	1	7	1	Core	
OG0004968	1	1	1	1	1	1	1	1	7	1	Core	
OG0004969	1	1	1	1	1	1	1	1	7	1	Core	
OG0004970	1	1	1	1	1	1	1	1	7	1	Core	
OG0004971	1	1	1	1	1	1	1	1	7	1	Core	
OG0004972	1	1	1	1	1	1	1	1	7	1	Core	
OG0004973	1	1	1	1	1	1	1	1	7	1	Core	
OG0004974	1	1	1	1	1	1	1	1	7	1	Core	
OG0004975	1	1	1	1	1	1	1	1	7	1	Core	
OG0004976	1	1	1	1	1	1	1	1	7	1	Core	
OG0004977	1	1	1	1	1	1	1	1	7	1	Core	
OG0004978	1	1	1	1	1	1	1	1	7	1	Core	
OG0004979	1	1	1	1	1	1	1	1	7	1	Core	
OG0004980	1	1	1	1	1	1	1	1	7	1	Core	
OG0004981	1	1	1	1	1	1	1	1	7	1	Core	
OG0004982	1	1	1	1	1	1	1	1	7	1	Core	
OG0004983	1	1	1	1	1	1	1	1	7	1	Core	
OG0004984	1	1	1	1	1	1	1	1	7	1	Core	
OG0004985	1	1	1	1	1	1	1	1	7	1	Core	
OG0004986	1	1	1	1	1	1	1	1	7	1	Core	
OG0004987	1	1	1	1	1	1	1	1	7	1	Core	
OG0004988	1	1	1	1	1	1	1	1	7	1	Core	
OG0004989	1	1	1	1	1	1	1	1	7	1	Core	
OG0004990	1	1	1	1	1	1	1	1	7	1	Core	
OG0004991	1	1	1	1	1	1	1	1	7	1	Core	
OG0004992	1	1	1	1	1	1	1	1	7	1	Core	
OG0004993	1	1	1	1	1	1	1	1	7	1	Core	
OG0004994	1	1	1	1	1	1	1	1	7	1	Core	
OG0004995	1	1	1	1	1	1	1	1	7	1	Core	
OG0004996	1	1	1	1	1	1	1	1	7	1	Core	
OG0004997	1	1	1	1	1	1	1	1	7	1	Core	
OG0004998	1	1	1	1	1	1	1	1	7	1	Core	
OG0004999	1	1	1	1	1	1	1	1	7	1	Core	
OG0005000	1	1	1	1	1	1	1	1	7	1	Core	
OG0005001	1	1	1	1	1	1	1	1	7	1	Core	
OG0005002	1	1	1	1	1	1	1	1	7	1	Core	
OG0005003	1	1	1	1	1	1	1	1	7	1	Core	
OG0005004	1	1	1	1	1	1	1	1	7	1	Core	
OG0005005	1	1	1	1	1	1	1	1	7	1	Core	
OG0005006	1	1	1	1	1	1	1	1	7	1	Core	
OG0005007	1	1	1	1	1	1	1	1	7	1	Core	
OG0005008	1	1	1	1	1	1	1	1	7	1	Core	
OG0005009	1	1	1	1	1	1	1	1	7	1	Core	
OG0005010	1	1	1	1	1	1	1	1	7	1	Core	
OG0005011	1	1	1	1	1	1	1	1	7	1	Core	
OG0005012	1	1	1	1	1	1	1	1	7	1	Core	
OG0005013	1	1	1	1	1	1	1	1	7	1	Core	
OG0005014	1	1	1	1	1	1	1	1	7	1	Core	
OG0005015	1	1	1	1	1	1	1	1	7	1	Core	
OG0005016	1	1	1	1	1	1	1	1	7	1	Core	
OG0005017	1	1	1	1	1	1	1	1	7	1	Core	
OG0005018	1	1	1	1	1	1	1	1	7	1	Core	
OG0005019	1	1	1	1	1	1	1	1	7	1	Core	
OG0005020	1	1	1	1	1	1	1	1	7	1	Core	
OG0005021	1	1	1	1	1	1	1	1	7	1	Core	
OG0005022	1	1	1	1	1	1	1	1	7	1	Core	
OG0005023	1	1	1	1	1	1	1	1	7	1	Core	
OG0005024	1	1	1	1	1	1	1	1	7	1	Core	
OG0005025	1	1	1	1	1	1	1	1	7	1	Core	
OG0005026	1	1	1	1	1	1	1	1	7	1	Core	
OG0005027	1	1	1	1	1	1	1	1	7	1	Core	
OG0005028	1	1	1	1	1	1	1	1	7	1	Core	
OG0005029	1	1	1	1	1	1	1	1	7	1	Core	
OG0005030	1	1	1	1	1	1	1	1	7	1	Core	
OG0005031	1	1	1	1	1	1	1	1	7	1	Core	
OG0005032	1	1	1	1	1	1	1	1	7	1	Core	
OG0005033	1	1	1	1	1	1	1	1	7	1	Core	
OG0005034	1	1	1	1	1	1	1	1	7	1	Core	
OG0005035	1	1	1	1	1	1	1	1	7	1	Core	
OG0005036	1	1	1	1	1	1	1	1	7	1	Core	
OG0005037	1	1	1	1	1	1	1	1	7	1	Core	
OG0005038	1	1	1	1	1	1	1	1	7	1	Core	
OG0005039	1	1	1	1	1	1	1	1	7	1	Core	
OG0005040	1	1	1	1	1	1	1	1	7	1	Core	
OG0005041	1	1	1	1	1	1	1	1	7	1	Core	
OG0005042	1	1	1	1	1	1	1	1	7	1	Core	
OG0005043	1	1	1	1	1	1	1	1	7	1	Core	
OG0005044	1	1	1	1	1	1	1	1	7	1	Core	
OG0005045	1	1	1	1	1	1	1	1	7	1	Core	
OG0005046	1	1	1	1	1	1	1	1	7	1	Core	
OG0005047	1	1	1	1	1	1	1	1	7	1	Core	
OG0005048	1	1	1	1	1	1	1	1	7	1	Core	
OG0005049	1	1	1	1	1	1	1	1	7	1	Core	
OG0005050	1	1	1	1	1	1	1	1	7	1	Core	
OG0005051	1	1	1	1	1	1	1	1	7	1	Core	
OG0005052	1	1	1	1	1	1	1	1	7	1	Core	
OG0005053	1	1	1	1	1	1	1	1	7	1	Core	
OG0005054	1	1	1	1	1	1	1	1	7	1	Core	
OG0005055	1	1	1	1	1	1	1	1	7	1	Core	
OG0005056	1	1	1	1	1	1	1	1	7	1	Core	
OG0005057	1	1	1	1	1	1	1	1	7	1	Core	
OG0005058	1	1	1	1	1	1	1	1	7	1	Core	
OG0005059	1	1	1	1	1	1	1	1	7	1	Core	
OG0005060	1	1	1	1	1	1	1	1	7	1	Core	
OG0005061	1	1	1	1	1	1	1	1	7	1	Core	
OG0005062	1	1	1	1	1	1	1	1	7	1	Core	
OG0005063	1	1	1	1	1	1	1	1	7	1	Core	
OG0005064	1	1	1	1	1	1	1	1	7	1	Core	
OG0005065	1	1	1	1	1	1	1	1	7	1	Core	
OG0005066	1	1	1	1	1	1	1	1	7	1	Core	
OG0005067	1	1	1	1	1	1	1	1	7	1	Core	
OG0005068	1	1	1	1	1	1	1	1	7	1	Core	
OG0005069	1	1	1	1	1	1	1	1	7	1	Core	
OG0005070	1	1	1	1	1	1	1	1	7	1	Core	
OG0005071	1	1	1	1	1	1	1	1	7	1	Core	
OG0005072	1	1	1	1	1	1	1	1	7	1	Core	
OG0005073	1	1	1	1	1	1	1	1	7	1	Core	
OG0005074	1	1	1	1	1	1	1	1	7	1	Core	
OG0005075	1	1	1	1	1	1	1	1	7	1	Core	
OG0005076	1	1	1	1	1	1	1	1	7	1	Core	
OG0005077	1	1	1	1	1	1	1	1	7	1	Core	
OG0005078	1	1	1	1	1	1	1	1	7	1	Core	
OG0005079	1	1	1	1	1	1	1	1	7	1	Core	
OG0005080	1	1	1	1	1	1	1	1	7	1	Core	
OG0005081	1	1	1	1	1	1	1	1	7	1	Core	
OG0005082	1	1	1	1	1	1	1	1	7	1	Core	
OG0005083	1	1	1	1	1	1	1	1	7	1	Core	
OG0005084	1	1	1	1	1	1	1	1	7	1	Core	
OG0005085	1	1	1	1	1	1	1	1	7	1	Core	
OG0005086	1	1	1	1	1	1	1	1	7	1	Core	
OG0005087	1	1	1	1	1	1	1	1	7	1	Core	
OG0005088	1	1	1	1	1	1	1	1	7	1	Core	
OG0005089	1	1	1	1	1	1	1	1	7	1	Core	
OG0005090	1	1	1	1	1	1	1	1	7	1	Core	
OG0005091	1	1	1	1	1	1	1	1	7	1	Core	
OG0005092	1	1	1	1	1	1	1	1	7	1	Core	
OG0005093	1	1	1	1	1	1	1	1	7	1	Core	
OG0005094	1	1	1	1	1	1	1	1	7	1	Core	
OG0005095	1	1	1	1	1	1	1	1	7	1	Core	
OG0005096	1	1	1	1	1	1	1	1	7	1	Core	
OG0005097	1	1	1	1	1	1	1	1	7	1	Core	
OG0005098	1	1	1	1	1	1	1	1	7	1	Core	
OG0005099	1	1	1	1	1	1	1	1	7	1	Core	
OG0005100	1	1	1	1	1	1	1	1	7	1	Core	
OG0005101	1	1	1	1	1	1	1	1	7	1	Core	
OG0005102	1	1	1	1	1	1	1	1	7	1	Core	
OG0005103	1	1	1	1	1	1	1	1	7	1	Core	
OG0005104	1	1	1	1	1	1	1	1	7	1	Core	
OG0005105	1	1	1	1	1	1	1	1	7	1	Core	
OG0005106	1	1	1	1	1	1	1	1	7	1	Core	
OG0005107	1	1	1	1	1	1	1	1	7	1	Core	
OG0005108	1	1	1	1	1	1	1	1	7	1	Core	
OG0005109	1	1	1	1	1	1	1	1	7	1	Core	
OG0005110	1	1	1	1	1	1	1	1	7	1	Core	
OG0005111	1	1	1	1	1	1	1	1	7	1	Core	
OG0005112	1	1	1	1	1	1	1	1	7	1	Core	
OG0005113	1	1	1	1	1	1	1	1	7	1	Core	
OG0005114	1	1	1	1	1	1	1	1	7	1	Core	
OG0005115	1	1	1	1	1	1	1	1	7	1	Core	
OG0005116	1	1	1	1	1	1	1	1	7	1	Core	
OG0005117	1	1	1	1	1	1	1	1	7	1	Core	
OG0005118	1	1	1	1	1	1	1	1	7	1	Core	
OG0005119	1	1	1	1	1	1	1	1	7	1	Core	
OG0005120	1	1	1	1	1	1	1	1	7	1	Core	
OG0005121	1	1	1	1	1	1	1	1	7	1	Core	
OG0005122	1	1	1	1	1	1	1	1	7	1	Core	
OG0005123	1	1	1	1	1	1	1	1	7	1	Core	
OG0005124	1	1	1	1	1	1	1	1	7	1	Core	
OG0005125	1	1	1	1	1	1	1	1	7	1	Core	
OG0005126	1	1	1	1	1	1	1	1	7	1	Core	
OG0005127	1	1	1	1	1	1	1	1	7	1	Core	
OG0005128	1	1	1	1	1	1	1	1	7	1	Core	
OG0005129	1	1	1	1	1	1	1	1	7	1	Core	
OG0005130	1	1	1	1	1	1	1	1	7	1	Core	
OG0005131	1	1	1	1	1	1	1	1	7	1	Core	
OG0005132	1	1	1	1	1	1	1	1	7	1	Core	
OG0005133	1	1	1	1	1	1	1	1	7	1	Core	
OG0005134	1	1	1	1	1	1	1	1	7	1	Core	
OG0005135	1	1	1	1	1	1	1	1	7	1	Core	
OG0005136	1	1	1	1	1	1	1	1	7	1	Core	
OG0005137	1	1	1	1	1	1	1	1	7	1	Core	
OG0005138	1	1	1	1	1	1	1	1	7	1	Core	
OG0005139	1	1	1	1	1	1	1	1	7	1	Core	
OG0005140	1	1	1	1	1	1	1	1	7	1	Core	
OG0005141	1	1	1	1	1	1	1	1	7	1	Core	
OG0005142	1	1	1	1	1	1	1	1	7	1	Core	
OG0005143	1	1	1	1	1	1	1	1	7	1	Core	
OG0005144	1	1	1	1	1	1	1	1	7	1	Core	
OG0005145	1	1	1	1	1	1	1	1	7	1	Core	
OG0005146	1	1	1	1	1	1	1	1	7	1	Core	
OG0005147	1	1	1	1	1	1	1	1	7	1	Core	
OG0005148	1	1	1	1	1	1	1	1	7	1	Core	
OG0005149	1	1	1	1	1	1	1	1	7	1	Core	
OG0005150	1	1	1	1	1	1	1	1	7	1	Core	
OG0005151	1	1	1	1	1	1	1	1	7	1	Core	
OG0005152	1	1	1	1	1	1	1	1	7	1	Core	
OG0005153	1	1	1	1	1	1	1	1	7	1	Core	
OG0005154	1	1	1	1	1	1	1	1	7	1	Core	
OG0005155	1	1	1	1	1	1	1	1	7	1	Core	
OG0005156	1	1	1	1	1	1	1	1	7	1	Core	
OG0005157	1	1	1	1	1	1	1	1	7	1	Core	
OG0005158	1	1	1	1	1	1	1	1	7	1	Core	
OG0005159	1	1	1	1	1	1	1	1	7	1	Core	
OG0005160	1	1	1	1	1	1	1	1	7	1	Core	
OG0005161	1	1	1	1	1	1	1	1	7	1	Core	
OG0005162	2	2	1	1	0	0	1	1	5	1	Accessory	
OG0005163	1	1	1	1	1	1	1	1	7	1	Core	
OG0005164	1	1	1	1	1	1	1	1	7	1	Core	
OG0005165	1	1	1	1	1	1	1	1	7	1	Core	
OG0005166	1	1	1	1	1	1	1	1	7	1	Core	
OG0005167	1	1	1	1	1	1	1	1	7	1	Core	
OG0005168	1	1	1	1	1	1	1	1	7	1	Core	
OG0005169	1	1	1	1	1	1	1	1	7	1	Core	
OG0005170	1	1	1	1	1	1	1	1	7	1	Core	
OG0005171	1	1	1	1	1	1	1	1	7	1	Core	
OG0005172	1	1	1	1	1	1	1	1	7	1	Core	
OG0005173	1	1	1	1	1	1	1	1	7	1	Core	
OG0005174	1	1	1	1	1	1	1	1	7	1	Core	
OG0005175	1	1	1	1	1	1	1	1	7	1	Core	
OG0005176	1	1	1	1	1	1	1	1	7	1	Core	
OG0005177	1	1	1	1	1	1	1	1	7	1	Core	
OG0005178	1	1	1	1	1	1	1	1	7	1	Core	
OG0005179	1	1	1	1	1	1	1	1	7	1	Core	
OG0005180	1	1	1	1	1	1	1	1	7	1	Core	
OG0005181	1	1	1	1	1	1	1	1	7	1	Core	
OG0005182	1	1	1	1	1	1	1	1	7	1	Core	
OG0005183	1	1	1	1	1	1	1	1	7	1	Core	
OG0005184	1	1	1	1	1	1	1	1	7	1	Core	
OG0005185	1	1	1	1	1	1	1	1	7	1	Core	
OG0005186	1	1	1	1	1	1	1	1	7	1	Core	
OG0005187	1	1	1	1	1	1	1	1	7	1	Core	
OG0005188	1	1	1	1	1	1	1	1	7	1	Core	
OG0005189	1	1	1	1	1	1	1	1	7	1	Core	
OG0005190	1	1	1	1	1	1	1	1	7	1	Core	
OG0005191	1	1	1	1	1	1	1	1	7	1	Core	
OG0005192	1	1	1	1	1	1	1	1	7	1	Core	
OG0005193	1	1	1	1	1	1	1	1	7	1	Core	
OG0005194	1	1	1	1	1	1	1	1	7	1	Core	
OG0005195	1	1	1	1	1	1	1	1	7	1	Core	
OG0005196	1	1	1	1	1	1	1	1	7	1	Core	
OG0005197	1	1	1	1	1	1	1	1	7	1	Core	
OG0005198	1	1	1	1	1	1	1	1	7	1	Core	
OG0005199	1	1	1	1	1	1	1	1	7	1	Core	
OG0005200	1	1	1	1	1	1	1	1	7	1	Core	
OG0005201	1	1	1	1	1	1	1	1	7	1	Core	
OG0005202	1	1	1	1	1	1	1	1	7	1	Core	
OG0005203	1	1	1	1	1	1	1	1	7	1	Core	
OG0005204	1	1	1	1	1	1	1	1	7	1	Core	
OG0005205	1	1	1	1	1	1	1	1	7	1	Core	
OG0005206	1	1	1	1	1	1	1	1	7	1	Core	
OG0005207	1	1	1	1	1	1	1	1	7	1	Core	
OG0005208	1	1	1	1	1	1	1	1	7	1	Core	
OG0005209	1	1	1	1	1	1	1	1	7	1	Core	
OG0005210	1	1	1	1	1	1	1	1	7	1	Core	
OG0005211	1	1	1	1	1	1	1	1	7	1	Core	
OG0005212	1	1	1	1	1	1	1	1	7	1	Core	
OG0005213	1	1	1	1	1	1	1	1	7	1	Core	
OG0005214	1	1	1	1	1	1	1	1	7	1	Core	
OG0005215	1	1	1	1	1	1	1	1	7	1	Core	
OG0005216	1	1	1	1	1	1	1	1	7	1	Core	
OG0005217	1	1	1	1	1	1	1	1	7	1	Core	
OG0005218	1	1	1	1	1	1	1	1	7	1	Core	
OG0005219	1	1	1	1	1	1	1	1	7	1	Core	
OG0005220	1	1	1	1	1	1	1	1	7	1	Core	
OG0005221	1	1	1	1	1	1	1	1	7	1	Core	
OG0005222	1	1	1	1	1	1	1	1	7	1	Core	
OG0005223	1	1	1	1	1	1	1	1	7	1	Core	
OG0005224	1	1	1	1	1	1	1	1	7	1	Core	
OG0005225	1	1	1	1	1	1	1	1	7	1	Core	
OG0005226	1	1	1	1	1	1	1	1	7	1	Core	
OG0005227	1	1	1	1	1	1	1	1	7	1	Core	
OG0005228	1	1	1	1	1	1	1	1	7	1	Core	
OG0005229	1	1	1	1	1	1	1	1	7	1	Core	
OG0005230	1	1	1	1	1	1	1	1	7	1	Core	
OG0005231	1	1	1	1	1	1	1	1	7	1	Core	
OG0005232	1	1	1	1	1	1	1	1	7	1	Core	
OG0005233	1	1	1	1	1	1	1	1	7	1	Core	
OG0005234	1	1	1	1	1	1	1	1	7	1	Core	
OG0005235	1	1	1	1	1	1	1	1	7	1	Core	
OG0005236	1	1	1	1	1	1	1	1	7	1	Core	
OG0005237	1	1	1	1	1	1	1	1	7	1	Core	
OG0005238	1	1	1	1	1	1	1	1	7	1	Core	
OG0005239	1	1	1	1	1	1	1	1	7	1	Core	
OG0005240	1	1	1	1	1	1	1	1	7	1	Core	
OG0005241	1	1	1	1	1	1	1	1	7	1	Core	
OG0005242	1	1	1	1	1	1	1	1	7	1	Core	
OG0005243	1	1	1	1	1	1	1	1	7	1	Core	
OG0005244	1	1	1	1	1	1	1	1	7	1	Core	
OG0005245	1	1	1	1	1	1	1	1	7	1	Core	
OG0005246	1	1	1	1	1	1	1	1	7	1	Core	
OG0005247	1	1	1	1	1	1	1	1	7	1	Core	
OG0005248	1	1	1	1	1	1	1	1	7	1	Core	
OG0005249	1	1	1	1	1	1	1	1	7	1	Core	
OG0005250	1	1	1	1	1	1	1	1	7	1	Core	
OG0005251	1	1	1	1	1	1	1	1	7	1	Core	
OG0005252	1	1	1	1	1	1	1	1	7	1	Core	
OG0005253	1	1	1	1	1	1	1	1	7	1	Core	
OG0005254	1	1	1	1	1	1	1	1	7	1	Core	
OG0005255	1	1	1	1	1	1	1	1	7	1	Core	
OG0005256	1	1	1	1	1	1	1	1	7	1	Core	
OG0005257	1	1	1	1	1	1	1	1	7	1	Core	
OG0005258	1	1	1	1	1	1	1	1	7	1	Core	
OG0005259	1	1	1	1	1	1	1	1	7	1	Core	
OG0005260	1	1	1	1	1	1	1	1	7	1	Core	
OG0005261	2	0	1	0	2	2	0	1	4	1	Accessory	
OG0005262	1	1	1	1	1	1	1	1	7	1	Core	
OG0005263	1	1	1	1	1	1	1	1	7	1	Core	
OG0005264	1	1	1	1	1	1	1	1	7	1	Core	
OG0005265	1	1	1	1	1	1	1	1	7	1	Core	
OG0005266	1	1	1	1	1	1	1	1	7	1	Core	
OG0005267	1	1	1	1	1	1	1	1	7	1	Core	
OG0005268	1	1	1	1	1	1	1	1	7	1	Core	
OG0005269	1	1	1	1	1	1	1	1	7	1	Core	
OG0005270	1	1	1	1	1	1	1	1	7	1	Core	
OG0005271	1	1	1	1	1	1	1	1	7	1	Core	
OG0005272	1	1	1	1	1	1	1	1	7	1	Core	
OG0005273	1	1	1	1	1	1	1	1	7	1	Core	
OG0005274	1	1	1	1	1	1	1	1	7	1	Core	
OG0005275	1	1	1	1	1	1	1	1	7	1	Core	
OG0005276	1	1	1	1	1	1	1	1	7	1	Core	
OG0005277	1	1	1	1	1	1	1	1	7	1	Core	
OG0005278	3	1	0	0	0	1	1	2	4	1	Accessory	
OG0005279	1	1	1	1	1	1	1	1	7	1	Core	
OG0005280	1	1	1	1	1	1	1	1	7	1	Core	
OG0005281	1	1	1	1	1	1	1	1	7	1	Core	
OG0005282	1	1	1	1	1	1	1	1	7	1	Core	
OG0005283	1	1	1	1	1	1	1	1	7	1	Core	
OG0005284	1	1	1	1	1	1	1	1	7	1	Core	
OG0005285	1	1	1	1	1	1	1	1	7	1	Core	
OG0005286	2	1	1	1	0	1	1	1	6	1	Soft core	
OG0005287	1	1	1	1	1	1	1	1	7	1	Core	
OG0005288	1	1	1	1	1	1	1	1	7	1	Core	
OG0005289	1	1	1	1	1	1	1	1	7	1	Core	
OG0005290	1	1	1	1	1	1	1	1	7	1	Core	
OG0005291	1	1	1	1	1	1	1	1	7	1	Core	
OG0005292	1	1	1	1	1	1	1	1	7	1	Core	
OG0005293	1	1	1	1	1	1	1	1	7	1	Core	
OG0005294	1	1	1	1	1	1	1	1	7	1	Core	
OG0005295	1	1	1	1	1	1	1	1	7	1	Core	
OG0005296	1	1	1	1	1	1	1	1	7	1	Core	
OG0005297	1	1	1	1	1	1	1	1	7	1	Core	
OG0005298	1	1	1	1	1	1	1	1	7	1	Core	
OG0005299	1	1	1	1	1	1	1	1	7	1	Core	
OG0005300	1	1	1	1	1	1	1	1	7	1	Core	
OG0005301	1	1	1	1	1	1	1	1	7	1	Core	
OG0005302	1	1	1	1	1	1	1	1	7	1	Core	
OG0005303	1	1	1	1	1	1	1	1	7	1	Core	
OG0005304	1	1	1	1	1	1	1	1	7	1	Core	
OG0005305	1	1	1	1	1	1	1	1	7	1	Core	
OG0005306	1	1	1	1	1	1	1	1	7	1	Core	
OG0005307	1	1	1	1	1	1	1	1	7	1	Core	
OG0005308	1	1	1	1	1	1	1	1	7	1	Core	
OG0005309	1	1	1	1	1	1	1	1	7	1	Core	
OG0005310	1	1	1	1	1	1	1	1	7	1	Core	
OG0005311	1	1	1	1	1	1	1	1	7	1	Core	
OG0005312	1	1	1	1	1	1	1	1	7	1	Core	
OG0005313	1	1	1	1	1	1	1	1	7	1	Core	
OG0005314	1	1	1	1	1	1	1	1	7	1	Core	
OG0005315	1	1	1	1	1	1	1	1	7	1	Core	
OG0005316	1	1	1	1	1	1	1	1	7	1	Core	
OG0005317	1	1	1	1	1	1	1	1	7	1	Core	
OG0005318	1	1	1	1	1	1	1	1	7	1	Core	
OG0005319	1	1	1	1	1	1	1	1	7	1	Core	
OG0005320	1	1	1	1	1	1	1	1	7	1	Core	
OG0005321	1	1	1	1	1	1	1	1	7	1	Core	
OG0005322	1	1	1	1	1	1	1	1	7	1	Core	
OG0005323	1	1	1	1	1	1	1	1	7	1	Core	
OG0005324	1	1	1	1	1	1	1	1	7	1	Core	
OG0005325	1	1	1	1	1	1	1	1	7	1	Core	
OG0005326	1	1	1	1	1	1	1	1	7	1	Core	
OG0005327	6	0	0	0	0	2	0	0	1	1	Private	KM
OG0005328	1	1	1	1	1	1	1	1	7	1	Core	
OG0005329	1	1	1	1	1	1	1	1	7	1	Core	
OG0005330	1	1	1	1	1	1	1	1	7	1	Core	
OG0005331	1	1	1	1	1	1	1	1	7	1	Core	
